Límite Inferior,Límite Superior,Cuota Fija,% Excedente
0.01,171.79,0.00,1.92
171.80,1458.03,3.29,6.40
1458.04,2562.35,85.61,10.88
2562.36,2978.64,205.80,16.00
2978.65,3566.22,272.37,17.92
3566.23,7192.64,377.65,21.36
7192.65,11336.57,1152.27,23.52
11336.58,21643.30,2126.95,30.00
21643.31,28857.79,5218.92,32.00
28857.80,86573.34,7527.59,34.00
86573.35,999999999,27150.83,35.00
